QWEN2.5-1.5B L1_down STUDY
RMT R_eff: 93.35, Spikes: 100
M=0.1, Loss=9.9253, Trace=-3402566.8771
M=0.3, Loss=5.1628, Trace=16673.5191
M=0.5, Loss=4.9530, Trace=791.6906
M=0.7, Loss=4.7944, Trace=3420.4556
M=0.9, Loss=4.5369, Trace=2944.2146
M=1.1, Loss=4.6326, Trace=2402.7589
M=1.3, Loss=4.7460, Trace=2584.6114
M=1.5, Loss=4.7308, Trace=3058.8398
M=1.7, Loss=4.7079, Trace=5294.4718
M=1.9, Loss=4.6329, Trace=6429.8509
M=3.0, Loss=4.5977, Trace=3478.4448
M=4.0, Loss=4.5017, Trace=3614.5230
M=5.0, Loss=4.5786, Trace=2241.8563
M=6.0, Loss=4.4444, Trace=3638.7203
M=7.0, Loss=4.3243, Trace=4904.6702
M=8.0, Loss=4.5759, Trace=-18.5003
M=9.0, Loss=4.5737, Trace=-2931.0052
M=10.0, Loss=4.4190, Trace=3043.7782
